ori_mol,backbone,side_chain,label
O1CC[C@@H](NC(=O)[C@@H](Cc2cc3cc(ccc3nc2N)-c2ccccc2C)C)CC1(C)C,Cc1ccccc1-c1ccc2nc(N)c(C)cc2c1,CCC(=O)N[C@@H]1CCOC(C)(C)C1,1
O1CC[C@@H](NC(=O)[C@@H](Cc2cc3cc(ccc3nc2N)-c2ccccc2C)C)CC1(C)C,Cc1ccccc1-c1ccc2nc(N)c(C[C@@H](C)C=O)cc2c1,CC1(C)C[C@H](N)CCO1,1
Fc1cc(cc(F)c1)C[C@H](NC(=O)[C@@H](N1CC[C@](NC(=O)C)(CC(C)C)C1=O)CCc1ccccc1)[C@H](O)[C@@H]1[NH2+]C[C@H](OCCC)C1,CC(=O)N[C@]1(CC(C)C)CCN([C@@H](CCc2ccccc2)C(=O)NCCc2cc(F)cc(F)c2)C1=O,CCCO[C@H]1C[NH2+][C@@H](CO)C1,1
S1(=O)(=O)N(c2cc(cc3c2n(cc3CC)CC1)C(=O)N[C@H]([C@H](O)C[NH2+]Cc1cc(OC)ccc1)Cc1ccccc1)C,CCc1cn2c3c(cc(C(=O)N[C@H](CO)Cc4ccccc4)cc13)N(C)S(=O)(=O)CC2,C[NH2+]Cc1cccc(OC)c1,1
S1(=O)(=O)C[C@@H](Cc2cc(O[C@H](COCC)C(F)(F)F)c(N)c(F)c2)[C@H](O)[C@@H]([NH2+]Cc2cc(ccc2)C(C)(C)C)C1,CC(C)(C)c1cccc(C[NH2+][C@H]2CS(=O)(=O)CC[C@@H]2O)c1,CCOC[C@@H](Oc1cc(C)cc(F)c1N)C(F)(F)F,1
S1(=O)(=O)C[C@@H](Cc2cc(O[C@H](COCC)C(F)(F)F)c(N)c(F)c2)[C@H](O)[C@@H]([NH2+]Cc2cc(ccc2)C(C)(C)C)C1,CC(C)(C)c1cccc(C[NH2+][C@H]2CS(=O)(=O)C[C@@H](Cc3ccc(N)c(F)c3)[C@@H]2O)c1,CCOC[C@@H](O)C(F)(F)F,1
S1(=O)(=O)N(c2cc(cc3c2n(cc3CC)CC1)C(=O)N[C@H]([C@H](O)C[NH2+]Cc1cc(ccc1)C(F)(F)F)Cc1ccccc1)C,CCc1cn2c3c(cc(C(=O)N[C@H](CO)Cc4ccccc4)cc13)N(C)S(=O)(=O)CC2,C[NH2+]Cc1cccc(C(F)(F)F)c1,1
S1(=O)(=O)N(c2cc(cc3c2n(cc3CC)CC1)C(=O)N[C@H]([C@H](O)C[NH2+]Cc1cc(ccc1)C(F)(F)F)Cc1ccccc1)C,CCc1cn2c3c(cc(C(=O)NC[C@H](O)C[NH2+]Cc4cccc(C(F)(F)F)c4)cc13)N(C)S(=O)(=O)CC2,Cc1ccccc1,1
S1(=O)C[C@@H](Cc2cc(OC(C(F)(F)F)C(F)(F)F)c(N)c(F)c2)[C@H](O)[C@@H]([NH2+]Cc2cc(ccc2)C(C)(C)C)C1,C[C@@H]1CS(=O)C[C@H]([NH2+]Cc2cccc(C(C)(C)C)c2)[C@H]1O,Nc1c(F)cccc1OC(C(F)(F)F)C(F)(F)F,1
S1(=O)C[C@@H](Cc2cc(OC(C(F)(F)F)C(F)(F)F)c(N)c(F)c2)[C@H](O)[C@@H]([NH2+]Cc2cc(ccc2)C(C)(C)C)C1,CC(C)(C)c1cccc(C[NH2+][C@H]2CS(=O)C[C@@H](Cc3cc(O)c(N)c(F)c3)[C@@H]2O)c1,FC(F)(F)CC(F)(F)F,1
S(=O)(=O)(CCCCC)C[C@@H](NC(=O)c1cccnc1)C(=O)N[C@H]([C@H](O)C[NH2+]Cc1cc(ccc1)CC)Cc1cc(F)cc(F)c1,CCCCCS(=O)(=O)C[C@@H](NC(=O)c1cccnc1)C(=O)NC[C@H](O)C[NH2+]Cc1cccc(CC)c1,Cc1cc(F)cc(F)c1,1
S(=O)(=O)(CCCCC)C[C@@H](NC(=O)c1cccnc1)C(=O)N[C@H]([C@H](O)C[NH2+]Cc1cc(ccc1)CC)Cc1cc(F)cc(F)c1,CCc1cccc(C[NH2+]C[C@@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)CNC(=O)c2cccnc2)c1,CCCCCS(C)(=O)=O,1
S(=O)(=O)(CCCCC)C[C@@H](NC(=O)c1cccnc1)C(=O)N[C@H]([C@H](O)C[NH2+]Cc1cc(ccc1)CC)Cc1cc(F)cc(F)c1,CCc1cccc(C[NH2+]C[C@@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)[C@@H](C[SH](=O)=O)NC(=O)c2cccnc2)c1,CCCCC,1
O=C1N(CCCC1)C(C)(C)[C@@H]1C[C@@H](CCC1)C(=O)N[C@H]([C@H](O)C[NH2+]Cc1cc(ccc1)C(C)C)Cc1ccccc1,CC(C)c1cccc(C[NH2+]C[C@@H](O)[C@H](Cc2ccccc2)NC=O)c1,CC(C)(C1CCCCC1)N1CCCCC1=O,1
O=C1N(CCCC1)C(C)(C)[C@@H]1C[C@@H](CCC1)C(=O)N[C@H]([C@H](O)C[NH2+]Cc1cc(ccc1)C(C)C)Cc1ccccc1,CC(C)c1cccc(C[NH2+]C[C@@H](O)[C@@H](N)Cc2ccccc2)c1,CC(C)([C@H]1CCC[C@@H](C=O)C1)N1CCCCC1=O,1
O=C1N(CCCC1)C(C)(C)[C@@H]1C[C@@H](CCC1)C(=O)N[C@H]([C@H](O)C[NH2+]Cc1cc(ccc1)C(C)C)Cc1ccccc1,CC(C)([C@H]1CCC[C@@H](C(=O)NCCc2ccccc2)C1)N1CCCCC1=O,CC(C)c1cccc(C[NH2+]CCO)c1,1
Fc1cc(cc(F)c1)C[C@H](NC(=O)c1cc(cc(c1)C)C(=O)N(CCC)CCC)[C@H](O)[C@@H]1[NH2+]C[C@H](Oc2ccccc2)C1,CCCN(CCC)C(=O)c1cc(C)cc(C(=O)NC[C@H](O)[C@H]2C[C@@H](Oc3ccccc3)C[NH2+]2)c1,Cc1cc(F)cc(F)c1,1
Fc1cc(cc(F)c1)C[C@H](NC(=O)c1cc(cc(c1)C)C(=O)N(CCC)CCC)[C@H](O)[C@@H]1[NH2+]C[C@H](Oc2ccccc2)C1,CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@@H](O)C[NH2+]2)c1,c1ccccc1,1
Fc1cc(cc(F)c1)C[C@H](NC(=O)c1cc(cc(c1)C)C(=O)N(CCC)CCC)[C@H](O)[C@@H]1[NH2+]C[C@H](Oc2ccccc2)C1,Cc1cccc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@@H](Oc3ccccc3)C[NH2+]2)c1,CCCN(C=O)CCC,1
Fc1cc(cc(F)c1)C[C@H](NC(=O)c1cc(cc(c1)C)C(=O)N(CCC)CCC)[C@H](O)[C@@H]1[NH2+]CCN(Cc2ccccc2)C1=O,CCCN(CCC)C(=O)c1cc(C)cc(C(=O)NC[C@H](O)[C@@H]2[NH2+]CCN(Cc3ccccc3)C2=O)c1,Cc1cc(F)cc(F)c1,1
Fc1cc(cc(F)c1)C[C@H](NC(=O)c1cc(cc(c1)C)C(=O)N(CCC)CCC)[C@H](O)[C@@H]1[NH2+]CCN(Cc2ccccc2)C1=O,CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@@H]2[NH2+]CCNC2=O)c1,Cc1ccccc1,1
