ori_mol,backbone,side_chain,label
O=C1c2ccccc2-c2onc3ccc(NCCCN4CCNC4)c1c23,CCNc1ccc2noc3c2c1C(=O)c1ccccc1-3,CN1CCNC1,1
O=C1c2ccccc2-c2onc3ccc(NCCCN4CCNC4)c1c23,Nc1ccc2noc3c2c1C(=O)c1ccccc1-3,CCCN1CCNC1,1
O=C(Nc1n[nH]c2nc(-c3cccs3)c(Br)cc12)C1CCCC1,O=C(Nc1n[nH]c2ncc(Br)cc12)C1CCCC1,c1ccsc1,1
O=C(Nc1n[nH]c2nc(-c3cccs3)c(Br)cc12)C1CCCC1,Brc1cc2cn[nH]c2nc1-c1cccs1,NC(=O)C1CCCC1,1
O=C(Nc1n[nH]c2nc(-c3cccs3)c(Br)cc12)C1CCCC1,O=CNc1n[nH]c2nc(-c3cccs3)c(Br)cc12,C1CCCC1,1
CS(=O)(=O)c1ccc(Nc2cc(-c3ccccc3Cl)nc3c(Br)cnn23)cc1,Clc1ccccc1-c1ccn2ncc(Br)c2n1,CS(=O)(=O)c1ccc(N)cc1,1
CS(=O)(=O)c1ccc(Nc2cc(-c3ccccc3Cl)nc3c(Br)cnn23)cc1,CS(=O)(=O)c1ccc(Nc2ccnc3c(Br)cnn23)cc1,Clc1ccccc1,1
CS(=O)(=O)c1ccc(Nc2cc(-c3ccccc3Cl)nc3c(Br)cnn23)cc1,Nc1cc(-c2ccccc2Cl)nc2c(Br)cnn12,CS(=O)(=O)c1ccccc1,1
COc1ccc(NN=C2C(=O)NN=C2c2ccccn2)cc1,O=C1CC(c2ccccn2)=NN1,COc1ccc(NN)cc1,1
CS(=O)(=O)c1cccc(-c2cnn3c(C(N)=O)cc(-c4ccccc4)nc23)c1,NC(=O)c1cc(-c2ccccc2)nc2ccnn12,CS(=O)(=O)c1ccccc1,1
O=c1sn(Cc2ccccc2)c(=S)n1Cc1ccccc1,Cn1sc(=O)n(Cc2ccccc2)c1=S,c1ccccc1,1
CCCCNc1cc(-c2c[nH]c3ncccc23)ncn1,CCCCNc1ccncn1,c1cnc2[nH]ccc2c1,1
