smiles,gsk3
Fc1ccc(-c2nc3sccn3c2-c2ccncc2)cc1,1
O=C1c2ccccc2-c2onc3ccc(NCCCN4CCNC4)c1c23,1
O=C(Nc1n[nH]c2nc(-c3cccs3)c(Br)cc12)C1CCCC1,1
CS(=O)(=O)c1ccc(Nc2cc(-c3ccccc3Cl)nc3c(Br)cnn23)cc1,1
COc1ccc(NN=C2C(=O)NN=C2c2ccccn2)cc1,1
CS(=O)(=O)c1cccc(-c2cnn3c(C(N)=O)cc(-c4ccccc4)nc23)c1,1
CCn1c2cc(Cl)c(F)cc2c(=O)c2c(O)onc21,1
O=c1sn(Cc2ccccc2)c(=S)n1Cc1ccccc1,1
CCCCNc1cc(-c2c[nH]c3ncccc23)ncn1,1
O=C1C(c2c(O)[nH]c3ncccc23)=Nc2ccccc21,1
CCN(C(C)=O)c1ccc(Nc2nc(NC3CC3)c3nc[nH]c3n2)cc1,1
COc1ccccc1C1=C(c2cn(CCCO)c3ncccc23)C(=O)NC1=O,1
O=C1NC(=O)C(c2cnc3cccnn23)=C1C1=CN2CCN(C(=O)N3CCCCC3)CC3=CC=CC1C32,1
CN=C(NC#N)SCC(=O)c1ccc(Cl)cc1Cl,1
c1ccc(Nc2nccc(-c3c(-c4ccccc4)nn4ncccc34)n2)cc1,1
Cc1c(-c2cccc(OCc3ccccc3)c2)c2c(N)ncnc2n1C1CCC(N2CCCC2)CC1,1
O=C1NCCc2[nH]c(-c3ccnc(-c4ccccc4F)c3)cc21,1
Cc1n[nH]c2c1C(c1cccs1)C1C(=O)CC(C)(C)CC1=N2,1
COc1cc(C=Nn2c(S)nnc2C2CCCCC2)cc(Br)c1O,1
Cc1cc(Nc2nc(-c3ccccc3)nc3ccccc23)[nH]n1,1
CN(C)S(=O)(=O)Nc1ccc(CCNC(=O)c2ccnc3[nH]c(-c4ccc(F)cc4)nc23)cc1,1
CC1CCN(C(=O)CC#N)CC1c1ncc2cnc3[nH]ccc3n12,1
Cc1n[nH]c2ccc(-c3nnn(Cc4ccccc4)c3-c3ccc(F)cc3)cc12,1
CC(N)COc1cnc(Cl)c(C=Cc2ccncc2)c1,1
CCCNC(=O)c1ccc(Nc2nc(CC)c3ccnc-3[nH]2)cc1,1
CN1CCN(CCCn2nc(C3=C(c4cn(-c5ccc6ccccc6c5)c5ccccc45)C(=O)NC3=O)c3ccccc32)CC1,1
COc1cc2nccc(Oc3ccc(NC(=S)NC(=O)c4ccccc4C)cc3)c2cc1OC,1
CN(C)c1cc(-c2ccncc2)cc2[nH]nc(N)c12,1
COc1ccc2[nH]cc(C=C3C(=O)Nc4ccccc43)c2c1,1
CC(C)(C)c1cc(NC(=O)C(=O)c2cccc3ccccc23)n(-c2ccc(OCC(N)=O)cc2)n1,1
O=C(O)CCc1ccc(Nc2ncc3nnn(-c4ccccc4)c3n2)cc1,1
COc1ccc(Sc2nc(Nc3cc(C)n[nH]3)c3ccccc3n2)cc1OC,1
CCCC(=O)Nc1[nH]nc2c(Cl)c(Cl)c(-c3ccccc3)cc12,1
COc1ccc2nc3c(cc2c1)c(NC(=O)CC(C)C)nn3CC(C)C,1
CCN(CC)Cc1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1,1
Oc1n[nH]cc1N=Nc1ccccc1Cl,1
N=c1nc(-c2ccccc2)n(-c2ccccc2)s1,1
Nc1ncnc2c1c(I)nn2C1CCC(O)CC1,1
O=C1NC(=O)C(c2ccccc2[N+](=O)[O-])C1=Nc1cc(Cl)c(O)c(Cl)c1,1
CN(C)c1cc2sncc2cc1NC(=O)C(=O)O,1
Cc1ccc(CNc2ccc3nnc(-c4ccccc4)n3n2)cc1,1
O=c1c(-c2ccc(F)cc2)c(-c2ccnc(NC3CCCCC3)c2)oc2ccccc12,1
COc1cc(-c2csc3c(C=CC(=O)NCCN(C)C)cnc(N)c23)ccc1NC(=O)c1cc2ccccc2n1C,1
c1cnc2cc(-c3cnnn3C3C4CC5CC(C4)CC3C5)ccc2n1,1
O=C1Cc2c([nH]c3c(Cl)cccc23)-c2ccccc2N1,1
O=[N+]([O-])c1cc(C=NO)ccc1N1CCCC1,1
Cc1n[nH]c2c1C(c1ccc(C(F)(F)F)cc1)C1C(=O)CC(C)(C)CC1=N2,1
Oc1cc(C(F)(F)F)c2c(-c3cccc(C(F)(F)F)c3)n[nH]c2n1,1
Cc1ccc(C)c(N2CCN(CCCNC(=O)c3nc(-c4cncnc4)no3)CC2)c1,1
COc1cccc(-c2n[nH]c(O)c2N=Nc2cccnc2)c1,1
CC(C)(C)C(=O)Oc1ccc2c(c1)nc(NC(=O)c1cccc([N+](=O)[O-])c1)n2CCCO,1
Cc1ccccc1-c1c(C(=O)O)n(CCCOc2cccc3ccccc23)c2ccccc12,1
Cc1n[nH]c2c1C(c1ccccc1)C1C(=O)CC(C)(C)CC1=N2,1
Nc1ncnc2sc3c(c12)-c1ccc(NC(=O)Nc2ccccc2)cc1CC3,1
CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)nc(OC(CN)c3ccccc3)cc21,1
COc1ccccc1Nc1nc(NCCO)nc(N)c1[N+](=O)[O-],1
Cc1cccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2cccc(Nc3ncnc4ccc(N)cc34)c2)c1,1
N#Cc1cccc(CSc2nnc(-c3ccncc3)o2)c1,1
FC(F)(F)c1cccc(Nc2nccc(-c3c(-c4ccccc4)nn4ncccc34)n2)c1,1
CCCC(=O)Nc1[nH]nc2cc(Cl)ccc12,1
O=C(O)COc1ccc(Nc2ncc3nnn(-c4ccccc4)c3n2)cc1,1
Brc1cccc(-n2ncc3c(NN=Cc4ccncc4)ncnc32)c1,1
O=C(NCCCN1CCN(c2ccccc2F)CC1)c1nc(-c2cncnc2)no1,1
Cc1cc(S(=O)(=O)N2CCN(C)CC2)ccc1-c1cnc(N)c(C(=O)Nc2cccnc2)n1,1
c1ccc(-c2nc3c(OC4CCCC4)ncnc3[nH]2)cc1,1
c1ccc(Cn2sc(=NCc3cccnc3)nc2-c2ccccc2)cc1,1
O=C(Cc1ccccc1)Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1,1
c1ccc(-n2sc(=NCc3cccnc3)nc2-c2cccc3ccccc23)cc1,1
NC(=O)Cn1cc(-c2cc(-c3cc4ccccc4s3)c3n[nH]cc3c2)c2nc(N)ncc21,1
Cn1cc(C2=C(c3coc4ccccc34)C(=O)NC2=O)c2cccc(CO)c21,1
O=C1NC(=O)C(n2ccc3ncccc32)=C1c1cn(CCCn2ccnc2)c2ccc(Br)cc12,1
CSc1ccc(-c2coc3ccc(-c4ccc(C)o4)cc23)cc1,1
COCC1COc2ccc(-c3nnc(SCc4ccc(-c5ccccc5C#N)cc4)o3)cc2O1,1
Cc1cc2c(NC(=O)C3CC3)nnc-2[nH]c1-c1ccc(O)cc1,1
COc1ccc(-c2ocnc2C(=O)NCc2ccncc2)c(F)c1,1
O=C1NC(=O)C(c2ccccc2[N+](=O)[O-])C1=Nc1cccc(O)c1,1
Fc1ccc(-c2nc3occn3c2-c2ccnc(NC3CCNCC3)n2)cc1,1
O=C1Nc2ccccc2Nc2nnc(Cl)cc21,1
COCCOc1cnn2ncc(-c3ccnc(Nc4cccc(OC)c4)n3)c2c1,1
Fc1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1F,1
COc1ccccc1CCN(C)c1cc(-c2ccncn2)cc(=O)n1C,1
C=S(O)c1cccc(-c2coc3ccc(-c4ccc(C)o4)cc23)c1,1
NC(Cc1c[nH]c2ccccc12)C(=O)Nc1cncc(C=Cc2ccncc2)c1,1
COc1cccc(-c2ccc3c(NC(=O)C4CC4)n[nH]c3n2)c1,1
O=C1NC(=O)C(N2CCc3ccccc32)=C1c1ccc(Cl)cc1,1
COc1cc(-c2ccc3c(c2)Nc2ccc(C(=O)NCCNC(C)=O)cc2NC3=O)ccc1O,1
COc1ccc(-c2[nH]nc(O)c2N=Nc2ccc(N(C)C)cc2)cc1OC,1
COc1cc(C(=O)O)c(Cl)cc1NC(=O)Nc1cnc(C#N)cn1,1
Cc1cccc(NC(=O)Nc2ccc(-c3csc4c(C#CCNS(C)(=O)=O)cnc(N)c34)cc2)c1,1
COCCn1cc(-c2ccnc(Nc3ccccc3)n2)c2cccnc21,1
N#Cc1ccc(-n2c(-c3nonc3N)nc3ccccc32)cc1,1
O=C1NC(=O)C(c2ccccc2Cl)C1=Nc1cccc(Cl)c1,1
NCC1(Cc2ccc(Cl)cc2)CCN(c2ncnc3[nH]cnc23)CC1,1
COc1cccc(NC(=O)c2nc(-c3ccc(S(=O)(=O)N4CCN(C)CC4)cc3)cnc2N)c1,1
Cc1c(C)n(Cc2ccccc2)c2ccc(C(=O)Nc3nc[nH]n3)cc12,1
NC1CCCCC1Nc1nccc(Nc2ccccc2C(=O)O)n1,1
Clc1ccc(-c2[nH]c3nccnc3c2Cc2ccccc2)cc1,1
OCCCn1cnc(-c2ccccc2)c1-c1ccncc1,1
O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1,1
COc1ccc(F)c(F)c1C(=O)c1cnc(NC2CCN(S(C)(=O)=O)CC2)nc1N,1
COc1ccc(-c2cnc3c(-c4ccsc4)cnn3c2)cc1,1
COc1c(NCCNc2cccc3ccccc23)c(F)c(N)c2c(=O)c(C(=O)O)cn(C3CC3)c12,1
Cc1[nH]nc2ccc(-c3cc(OCC(N)Cc4c[nH]c5ccccc45)cnc3-c3ccoc3)nc12,1
NC(c1ccc(Cl)cc1)C1CCN(c2ncnc3[nH]ccc23)CC1,1
Cn1cc(C2=C(c3cccc(CC(O)CO)c3)C(=O)NC2=O)c2cc(F)ccc21,1
Clc1ccc(C2(c3cc4[nH]ccnc-4n3)CC2)cc1,1
c1ccc(-c2ccc(CSc3nnc(-c4ccc5c(c4)OCCO5)o3)cc2)cc1,1
Nc1ncnc(Nc2cc(CNC(=O)C(F)(F)F)c(O)c(-c3ccc(Cl)cc3)c2)n1,1
COc1cccc(-n2ncc3c(NN=Cc4ccc(C#N)cc4)ncnc32)c1,1
CCCC(=O)Nc1n[nH]c2cc(-c3ccc(F)cc3)ccc12,1
CC(=O)N1CCc2c(sc(NC(=O)C3COc4ccccc4O3)c2C(N)=O)C1,1
COc1ccc(S(=O)(=O)N(CCO)c2ccccc2CN(C)CC=Cc2ccc(Cl)cc2)cc1,1
Fc1ccc(-c2nn3ncccc3c2-c2ccnc(Nc3ccccc3)n2)cc1,1
Cc1ccc(-c2ccc3occ(-c4ccc(F)cc4)c3c2)o1,1
CCOC(=O)CN=c1nc(-c2ccccc2)n(-c2ccccc2)s1,1
CC1(C)COc2c(NCCNc3ccccn3)c(F)c(N)c3c(=O)c(C(=O)O)cn1c23,1
COc1cc(C2=C(c3c[nH]c4cnccc34)C(=O)NC2=O)cc(OC)c1OC,1
CC(=O)ON=C1C(C2C(=O)Nc3cc(Cl)c(Cl)cc32)=Nc2ccccc21,1
CN1C(=O)C(c2ccc3ccccc3c2)C(c2ccncc2)=NC1=NCC(N)Cc1ccccc1,1
Cc1ccc(N2CCN(CCCNC(=O)c3nc(-c4cccnc4)no3)CC2)cc1,1
O=C(O)CCc1ccc(Nc2ncc([N+](=O)[O-])c(NC34CC5CC(CC(C5)C3)C4)n2)cc1,1
Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC3CCOCC3)nc21,1
CC(C)(C)NS(=O)(=O)c1cncc(-c2ccn3nc(N)nc3c2)c1,1
COc1ccc(-c2ocnc2C(=O)NCc2ccncc2)cc1-c1ccncc1,1
Cc1cc2oc3ncc(OCc4ccccc4)c(-c4ccccc4)c3c2cc1O,1
Oc1cc(-c2ccncc2)nc(CCCc2ccccc2)n1,1
Cc1n[nH]c2ccc(-c3cc(OCC(N)Cc4c[nH]c5ccccc45)cnc3-c3ccoc3)nc12,1
COc1cccc(C2=C(c3cn(C)c4cc(F)ccc34)C(=O)NC2=O)c1,1
Cn1cc(C2=C(c3cccc(NCC(O)CO)c3)C(=O)NC2=O)c2cc(Cl)ccc21,1
COc1ccc2c(-c3ccnc(Nc4cccc(OC(F)(F)F)c4)n3)cnn2n1,1
O=C(Nc1n[nH]c2nc(-c3nccs3)c(Br)cc12)C1CC1,1
COc1ccccc1N1CCN(CCCNC(=O)c2nc(-c3cccnc3)no2)CC1,1
CCOC(=O)c1cn(-c2ccc(O)cc2C)c2cc(-c3ccncc3)ccc2c1=O,1
CCN(CC)c1ccc(C=NNc2ncnc3c2cnn3-c2cccc(OC)c2)cc1,1
CCCN1C(=O)CC(c2ccncc2)=NC1=CCCc1ccccc1,1
CCOC(=O)c1cnn2c(O)cc(-c3ccncc3)nc12,1
O=C(Nc1cccc(Cl)c1)Nc1nc(CCNc2ncnc3ccsc23)cs1,1
COc1cc(C=NNC(=O)C2SC(=N)C(C#N)=C2C)ccc1O,1
OCc1cc(-c2ccc3[nH]ncc3c2)on1,1
CC1=NC(=O)NC(c2ccccc2OC(F)F)C1C(=O)OCc1ccccc1,1
Cc1ccc(OCC(=O)NN=Cc2ccc(O)cc2)c([N+](=O)[O-])c1,1
CCS(=O)(=O)Nc1ccc(CCNC(=O)c2ccnc3nc(-c4ccsc4)[nH]c23)cc1,1
CCc1nccn2c(-c3ccnc(NCC(C)(C)O)n3)c(-c3ccc(F)cc3F)nc12,1
COc1ccc(-c2ocnc2C(=O)NCc2ccnnc2)cc1Cl,1
O=C(O)c1ccc(Nc2ncc(F)c(Nc3ccccc3)n2)cc1,1
Nc1nonc1-c1nc2ccccc2n1-c1ccccc1,1
CNC(=O)c1ccc(CNC(=O)c2ncoc2-c2ccc(OC)cc2)cc1,1
Oc1oc(Nc2ncc3nnn(-c4ccccc4)c3n2)c2ccccc12,1
CCCC(=O)Nc1[nH]nc2cc(Br)ccc12,1
Nc1[nH]nc2ccc(-c3nnn(Cc4ccccc4)c3-c3ccccc3)cc12,1
Clc1cccc(CSc2nnc(-c3ccc4c(c3)CCO4)o2)c1,1
COc1cc(NCc2cccnc2)n2ncc(Br)c2n1,1
Clc1csc2ncnc(Nc3ccccc3)c12,1
O=C1NC(=O)C(n2ccc3ncccc32)=C1c1cn(CCCCn2ccnc2)c2ccccc12,1
O=C1NC(=O)C(=Cc2ccc(CC3=NC(O)=NC3=O)cc2)N1,1
O=C(NC(CO)c1ccccc1)c1ccc(-c2ccncc2)cc1,1
Cc1ccc(C)c(N2CCN(CCCNC(=O)c3nc(-c4cccnc4)no3)CC2)c1,1
COc1ccc(-n2cnc3ccc(-c4nnc(SCc5cccc(C#N)c5)o4)cc32)cc1,1
COc1cccc(-n2ncc3c(NN=Cc4ccncc4)ncnc32)c1,1
N#Cc1cccc(C(=O)Nc2[nH]nc3ccc(-c4cn(Cc5ccccc5)nn4)cc23)c1,1
OCCCNc1nccc(-c2c(-c3ccc(F)cc3)nn3cc(C(F)(F)F)ccc23)n1,1
Nc1ncnc2c1sc1ncnc(N)c12,1
O=c1[nH]c2ccccc2n1C1CCN(Cc2ccc(-c3nc4cc5[nH]cnc5cc4nc3-c3ccccc3)cc2)CC1,1
Cc1cccc(NC(=O)Nc2ccc(-c3csc4c(-c5cnn(CCO)c5)cnc(N)c34)cc2F)c1,1
COc1cc(F)ccc1-c1c[nH]c(=O)c2cc(-c3ccncc3)sc12,1
CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)nc(CN(C)C)cc21,1
O=C(O)c1ccc(N2C(=O)c3ccccc3C2=O)cc1O,1
CCC(CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,1
O=C(O)COc1cccc(CCCNC(=O)c2ccc(O)c3[nH]c(-c4ccc(Cl)cc4)nc23)c1,1
NC(COc1cncc(-c2ccc3cnccc3c2)c1)Cc1c[nH]c2ccccc12,1
Cc1c(-c2ccc(Cl)cc2)[nH]c2nccnc12,1
c1cnn2ncc(-c3ccnc(Nc4ccc5c(c4)OCCCO5)n3)c2c1,1
Cc1cccc(C2c3c(C)n[nH]c3N=C3CC(C)(C)CC(=O)C32)c1,1
Nc1c(F)c(NCCNc2cccc3ccccc23)c(F)c2c1c(=O)c(C(=O)O)cn2C1CC1,1
Cn1c2c(c3cc(Br)ccc31)CC(=O)Nc1ccccc1-2,1
C=C1C=C(N2CCOCC2)Cc2nc(-c3c(NCC(O)c4cccc(Cl)c4)ccnc3O)[nH]c21,1
c1ccc(-c2[nH]nc3c2oc2ccccc23)cc1,1
CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,1
CCCC(=O)Nc1n[nH]c2cc(Cl)c(-c3ccc(F)cc3)cc12,1
CCCC(=O)Nc1n[nH]c2cc(-c3ccccc3Cl)ccc12,1
Cc1nccn2c(-c3ccnc(NCCC(C)(C)O)n3)c(-c3ccc(F)cc3F)nc12,1
CCC(C)c1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1,1
COc1ccc(-c2nnc(SCc3cccc(OC)c3)o2)cc1,1
OC(COc1cncc(C=Cc2ccncc2)c1)Cc1c[nH]c2ccccc12,1
OCCN=c1nc(-c2ccccc2)n(-c2ccccc2)s1,1
O=C1NC(=O)C(c2cn3c4c(cc(Br)cc24)CNCC3)=C1c1coc2ccccc12,1
O=S(=O)(Nc1ccc2c(c1)C(=NO)c1ccccc1-2)c1cccc(Br)c1,1
COc1ccc(-c2c[nH]c3c2-n2cccc2C3=NO)cc1O,1
CCCCCC(=O)Nc1ncnc2oc(-c3ccc(OC)cc3)cc12,1
Cn1c2ccccc2c2c3c(O)[nH]cc3c3c4ccccc4n(CCC#N)c3c21,1
COc1cccc(-n2ncc3c(NN=Cc4ccncc4)ncnc32)n1,1
COc1ccncc1-c1[nH]nc(O)c1N=Nc1ccncc1,1
CCC(CO)Nc1nc(NCc2ccccc2)c2n[nH]c(C(C)C)c2n1,1
C(=NNc1ncnc2c1cnn2-c1cccnc1)c1ccncc1,1
COc1ccc(-c2ccc(NC(=O)Nc3cc(F)cc(F)c3)cc2)c2c(N)noc12,1
N#Cc1ccc(F)c(-c2cnc(O)c3cc(-c4ccncc4)sc23)c1,1
C#Cc1cc2c(cc1OC)-c1[nH]nc(-c3ccc(C#N)nc3)c1C2,1
Cc1n[nH]c2ccc(-c3cncc(OCC(N)Cc4c[nH]c5ccccc45)c3)cc12,1
CSc1cnc2c(ccc3cnccc32)c1O,1
CSc1ccc(-c2nnc(Nc3ccc(Cl)cc3)o2)cc1,1
Cc1c([N+](=O)[O-])c2ccc(O)cc2n1-c1ccccc1,1
