ori_mol,backbone,side_chain,label
CN(C)CCNC(=O)c1ccc(-c2n[nH]c3cc(Nc4ccccc4Cl)ccc23)cc1,CN(C)CCNC(=O)c1ccc(-c2n[nH]c3ccccc23)cc1,Nc1ccccc1Cl,1
CN(C)CCNC(=O)c1ccc(-c2n[nH]c3cc(Nc4ccccc4Cl)ccc23)cc1,NC(=O)c1ccc(-c2n[nH]c3cc(Nc4ccccc4Cl)ccc23)cc1,CCN(C)C,1
CNC(=O)c1ccccc1Sc1ccc2c(C=Cc3ccccn3)n[nH]c2c1,C=Cc1n[nH]c2cc(Sc3ccccc3C(=O)NC)ccc12,c1ccncc1,1
CNC(=O)c1ccccc1Sc1ccc2c(C=Cc3ccccn3)n[nH]c2c1,CNC(=O)c1ccccc1Sc1ccc2cn[nH]c2c1,C=Cc1ccccn1,1
Cc1ncn(-c2ccc(Nc3nccc(-c4cc[nH]n4)n3)cc2)n1,Nc1nccc(-c2cc[nH]n2)n1,Cc1ncn(-c2ccccc2)n1,1
Cc1ncn(-c2ccc(Nc3nccc(-c4cc[nH]n4)n3)cc2)n1,c1ccc(Nc2nccc(-c3cc[nH]n3)n2)cc1,Cc1nc[nH]n1,1
NC(=O)c1ccsc1NC(=O)c1cccs1,NC(=O)c1ccsc1NC=O,c1ccsc1,1
NC(=O)c1ccsc1NC(=O)c1cccs1,NC(=O)c1ccsc1,NC(=O)c1cccs1,1
NC(=O)c1ccsc1NC(=O)c1cccs1,NC(=O)c1ccsc1N,O=Cc1cccs1,1
COc1cc(CC(=O)Nc2sccc2C(N)=O)cc(OC)c1OC,COc1cc(CC=O)cc(OC)c1OC,NC(=O)c1ccsc1N,1
COc1cc(CC(=O)Nc2sccc2C(N)=O)cc(OC)c1OC,COc1cc(CC(N)=O)cc(OC)c1OC,NC(=O)c1ccsc1,1
COc1cc(CC(=O)Nc2sccc2C(N)=O)cc(OC)c1OC,COc1cccc(OC)c1OC,CC(=O)Nc1sccc1C(N)=O,1
CCOc1nc(C(=O)NCc2ccccc2S(N)(=O)=O)cc(N)c1C#N,CCOc1nc(C=O)cc(N)c1C#N,NCc1ccccc1S(N)(=O)=O,1
CCOc1nc(C(=O)NCc2ccccc2S(N)(=O)=O)cc(N)c1C#N,CCOc1nc(C(N)=O)cc(N)c1C#N,Cc1ccccc1S(N)(=O)=O,1
CS(=O)(=O)c1ccc(CN2CCCc3c2sc(NC(=O)c2cccc4ccccc24)c3C#N)cc1,CS(=O)(=O)c1ccc(CN2CCCc3c2sc(N)c3C#N)cc1,O=Cc1cccc2ccccc12,1
CS(=O)(=O)c1ccc(CN2CCCc3c2sc(NC(=O)c2cccc4ccccc24)c3C#N)cc1,N#Cc1c(NC(=O)c2cccc3ccccc23)sc2c1CCCN2,Cc1ccc(S(C)(=O)=O)cc1,1
CS(=O)(=O)c1ccc(CN2CCCc3c2sc(NC(=O)c2cccc4ccccc24)c3C#N)cc1,CS(=O)(=O)c1ccc(CN2CCCc3c2sc(NC=O)c3C#N)cc1,c1ccc2ccccc2c1,1
CS(=O)(=O)Nc1ccc(-c2ccnc(Nc3ccc(S(N)(=O)=O)cc3)n2)cc1,NS(=O)(=O)c1ccc(Nc2ncccn2)cc1,CS(=O)(=O)Nc1ccccc1,1
Cn1cc(-c2ccc3cnc(Nc4ccc(-n5cnc(N6CCOCC6)n5)cc4)nc3c2C2CC2)cn1,Cn1cc(-c2ccc3cnc(Nc4ccc(-n5cncn5)cc4)nc3c2C2CC2)cn1,C1COCCN1,1
O=C(NC(CO)c1ccccc1)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1,O=C(NCCO)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1,c1ccccc1,1
