smiles,jnk3
O=Nc1c(O)n(Cc2ccc(Cl)cc2)c2ccccc12,1
CN(C)CCNC(=O)c1ccc(-c2n[nH]c3cc(Nc4ccccc4Cl)ccc23)cc1,1
CNC(=O)c1ccccc1Sc1ccc2c(C=Cc3ccccn3)n[nH]c2c1,1
Cc1ncn(-c2ccc(Nc3nccc(-c4cc[nH]n4)n3)cc2)n1,1
NC(=O)c1ccsc1NC(=O)c1cccs1,1
COc1cc(CC(=O)Nc2sccc2C(N)=O)cc(OC)c1OC,1
CCOc1nc(C(=O)NCc2ccccc2S(N)(=O)=O)cc(N)c1C#N,1
COc1ccc(Oc2cc(Nc3ccccc3C(N)=O)c(C(F)(F)F)cn2)cc1,1
COc1ccc2nc(-c3ccc4ccccc4c3)n(-c3ccnc(NC4CCCCC4)n3)c2c1,1
CS(=O)(=O)c1ccc(CN2CCCc3c2sc(NC(=O)c2cccc4ccccc24)c3C#N)cc1,1
CS(=O)(=O)Nc1ccc(-c2ccnc(Nc3ccc(S(N)(=O)=O)cc3)n2)cc1,1
Cn1cc(-c2ccc3cnc(Nc4ccc(-n5cnc(N6CCOCC6)n5)cc4)nc3c2C2CC2)cn1,1
O=C(NC(CO)c1ccccc1)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1,1
O=Nc1c(O)n(Cc2cc(F)cc3c2OCOC3)c2cccc(-c3ccccc3)c12,1
C=S(O)(O)=CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,1
Cc1ccc(-c2ccc3cnc(Nc4ccc(-n5cnc(N6CCOCC6)n5)cc4)nc3c2)cn1,1
O=C(NCCN1CCOCC1)c1cccc(-n2ncc3cc(Nc4ccccc4Cl)ncc32)c1,1
O=C(Nc1cc(-c2ccnc(Nc3ccccc3)c2)ccn1)c1ccco1,1
O=C(C1C=C(c2[nH]ncc2-c2cccc(Cl)c2)C=N1)N1CCCC1,1
COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC,1
COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)NC(=O)C(C)(C)O4)n2)cc(OC)c1OC,1
COC1C(N(C)C(=O)CCC(=O)NCCC(=O)NCCC(=O)NCCC(N)=O)CC2OC1(C)n1c3ccccc3c3c4c[nH]c(O)c4c4c5ccccc5n2c4c31,1
CNC(=O)CN1CCC(Nc2ncc(Cl)c(-c3c[nH]c4ccccc34)n2)CC1,1
c1ccc(-c2cnc(Nc3ccc(OCCN4CCCC4)cc3)s2)cc1,1
c1cc2ccc3ncc(-c4ccc(N5CCOCC5)cc4)cc3c2cn1,1
Cc1nc2cc3nc(-c4cccs4)cnc3cc2n1C,1
O=C(Cc1cccc2cnccc12)Nc1scnc1-c1cscn1,1
COc1ccc(Oc2cc(Nc3c(F)cccc3C(N)=O)c(C(F)(F)F)cn2)cc1,1
COC(=O)c1ccccc1NC(=O)Cc1cccc2ccccc12,1
CCOC(=O)c1sccc1NC(=O)Cc1ccccc1,1
NC(=O)c1ccccc1Nc1ccnc(Nc2ccc3c(c2)OCO3)c1,1
CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1,1
CCOc1ccc(-c2csc3ncnc(SCCC(=O)O)c23)cc1,1
COC(=O)c1ccccc1NC(=O)CN1CCC(NC(=O)c2ccc(C)cc2)CC1,1
CCCNc1nccc(-c2c(-c3ccc(F)cc3)nc3n2C(Cc2ccc(OC)cc2)CC3)n1,1
COc1cccc(-c2cc(C(O)Nc3ccc(OC)c(OC)c3)on2)c1,1
CCNC(=O)c1ccc2c(N=O)c(O)n(Cc3cc(F)cc4c3OCOC4)c2c1,1
CC1NC(=O)NC1CCCCCC(=O)NCCc1ccccc1,1
O=C(C1CC1)N1CCCC(Nc2nccc(-n3c(-c4ccc(Cl)c(Cl)c4)nc4ccccc43)n2)C1,1
c1cc(-c2nccs2)c2nc(Nc3ccc(-n4cnc(N5CCOCC5)n4)cc3)ncc2c1,1
CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1,1
COC(=O)c1c(C)csc1NC(=O)Cc1cccc2nccnc12,1
Cc1cccc2c1c(N=O)c(O)n2Cc1cc(F)cc2c1OCOC2,1
COc1cccc(-n2ccc(-c3ccnc(Nc4ccc(-n5nc(C)nc5C)cc4)c3)n2)c1,1
NS(=O)(=O)c1ccc(-c2cnc3cccc(Nc4ccc(Cl)cn4)c3c2)cc1,1
O=C(C1CCC(Cn2c(=O)[nH]c3ccccc3c2=O)CC1)N1CCN(c2ccccc2)CC1,1
CCOC(=O)N1CCN(C(=O)C2CCC(Cn3c(=S)[nH]c4ccccc4c3=O)CC2)CC1,1
Cc1nc(SCCC(=O)O)c2ccccc2n1,1
Fc1cnc(Nc2ccc(N3CCOCC3)cc2)cc1-c1ccn(CCN2CCOCC2)n1,1
Cc1ccc(-c2cccc3cnc(Nc4ccc(-n5cnc(N6CCOCC6)n5)cc4)nc23)cn1,1
O=C(Cc1cc(C(F)(F)F)cc2ncccc12)Nc1scc(Br)c1-c1ncn[nH]1,1
O=C(Nc1cccc(Nc2cc(Nc3cccc(C(F)(F)F)c3)ncn2)c1)C1CC1,1
COc1cc(N2CCOCC2)ccc1Nc1cc(Nc2ccccc2C(=O)N(C)C)c(C(F)(F)F)cn1,1
COC(=O)c1c(C)csc1NC(=O)Cc1ccc(OCCCN2CCCC2)cc1,1
COC(=O)c1c(C)csc1NC(=O)Cc1cccc2cnccc12,1
CCOC(=O)c1ccccc1NC(=O)CSc1ncc(C(=O)OCC)c(N)n1,1
N#CC(c1ccnc(NCCc2cccnc2)n1)c1nc2ccccc2s1,1
CCOC(=O)c1c(C2CC2)csc1NC(=O)Cc1ccc(OC)cc1,1
COC(=O)c1ccccc1NC(=O)CN1CCC(NC(=O)c2ccccc2C)CC1,1
CS(=O)(=O)Nc1ccc(-c2cnc3cccc(NC(=O)c4ccccn4)c3c2)cc1,1
Cn1cc(-c2ccc3cnc(Nc4ccc(-n5cnc(N6CCOCC6)n5)cc4)nc3c2C(F)(F)F)cn1,1
CN1CCN(CCNC(=O)c2cncc(-n3ncc4cc(Nc5c(Cl)cccc5Cl)ccc43)c2)CC1,1
O=C(NC(CO)c1ccc(Cl)cc1)C1C=C(c2[nH]ncc2-c2cccc(Cl)c2)C=N1,1
COc1cc(NC(=O)c2cccc(-n3ncc4cc(Nc5ccccc5F)ccc43)c2)cc(OC)c1OC,1
COc1ccc(Nc2ncc3nc(Nc4ccccc4F)n(C4CCOCC4)c3n2)cc1,1
O=Nc1c(O)n(Cc2cc(F)cc3c2OCOC3)c2ccccc12,1
O=C(NC(CO)c1ccccc1)C1C=C(c2[nH]ncc2-c2cccc(Cl)c2)C=N1,1
O=C1C=CC(c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)=CC1,1
O=C(NCc1ccccc1)C1C=C(c2[nH]ncc2-c2cccc(Cl)c2)C=N1,1
O=Nc1c(O)n(Cc2cc(F)cc3c2OCOC3)c2cccc(C=Cc3ccccc3)c12,1
O=C(Nc1cccc(Cl)c1N1CCN(Cc2ccco2)CC1)c1ccc(Br)o1,1
CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1,1
C=CCN1CCN(c2c(Cl)cccc2NC(=O)c2ccc[nH]2)CC1,1
NC(=O)c1ccccc1Nc1cc(Oc2ccc(Br)cc2)ncc1C(F)(F)F,1
N#Cc1c(NC(=O)c2cccc3ccccc23)sc2c1CCN(C(=O)CCN1CCCCC1)C2,1
CCNC(=O)N1CC(Nc2ncc(Cl)c(-c3c[nH]c4ccccc34)n2)C1,1
Nc1ccc2c(N=O)c(O)n(Cc3cc(F)cc4c3OCOC4)c2c1,1
CC(C)Nc1ncc2nc(Nc3ccccc3F)n(C3CCCC3)c2n1,1
COc1cccc(Oc2cc(Nc3ccccc3C(N)=O)c(C(F)(F)F)cn2)c1,1
CC(=O)ON=C1C(C2C(=O)Nc3cc(Br)ccc32)=Nc2ccccc21,1
NC(=O)C(NC(=O)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1)c1ccccc1,1
CCNC(=O)N1CCCC(Nc2ncc(Cl)c(-c3c[nH]c4ccccc34)n2)C1,1
CNC(=O)c1ccccc1Sc1ccc2c(C=Cc3ccccn3)[nH]nc2c1,1
C#CCN1CCN(c2c(F)cccc2NC(=O)c2ccc(Br)o2)CC1,1
O=Nc1c(O)n(Cc2cccc([N+](=O)[O-])c2)c2ccccc12,1
CCN1CCC(n2nc(-c3ccnc(NC4CCOCC4)c3)n(-c3ccc4ccccc4c3)c2=O)CC1,1
COc1cccc(-c2cc(=O)c3ccccc3o2)c1N,1
O=C1NC(=O)c2c1c1c3ccccc3[nH]c1c1[nH]c3cc(Br)ccc3c21,1
ON=C1c2ccccc2-c2c1nc1ccccc1[n+]2O,1
COC(=O)c1ccc2c(c1)NC(=O)C2C(=Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1,1
Clc1cnc(Nc2ccc(N3CCOCC3)cc2)cc1-c1cc[nH]n1,1
CC(Sc1ccc2ccccc2n1)C(=O)O,1
CCNC(=O)N1CCC(Nc2ncc(Cl)c(-c3c[nH]c4ccccc34)n2)C1,1
Cn1ccc(-c2cc(Nc3ccc(-n4cnc(-c5ccccn5)n4)cc3)ncc2F)n1,1
C=CCN1CCN(c2c(Cl)cccc2NC(=O)c2cnc(Br)s2)CC1,1
Oc1ccc2nc(-c3ccc4ccccc4c3)n(-c3ccnc(NC4CCOCC4)n3)c2c1,1
O=C(NCc1ccc(F)c(F)c1)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1,1
CC(C)(O)c1ccc(-c2cnc3c(n2)N(CC2CCOCC2)CC(=O)N3)cn1,1
Cn1cc(-c2cccc3cnc(Nc4ccc(-n5cnc(N6CCOCC6)n5)cc4)nc23)cn1,1
N#Cc1c(NC(=O)c2cccc3ccccc23)sc2c1CCCN2S(=O)(=O)c1ccccc1,1
COc1ccc(-c2cccc3cnc(Nc4ccc(-n5cnc(N6CCOCC6)n5)cc4)nc23)cc1F,1
O=C(CN1C(=O)CCc2ccccc21)Nc1scc(Cl)c1-c1ncn[nH]1,1
N#Cc1csc(NC(=O)CN2C(=O)CCc3ncccc32)c1-c1ncn[nH]1,1
O=C(C1CC1)N1CCCC(Nc2nccc(-n3c(-c4ccc5ccccc5c4)nc4cc(O)ccc43)n2)C1,1
COc1cc2ncnc(Nc3ccc(Oc4ccccc4)cc3)c2cc1OC,1
CCC(CO)Nc1nc(N=C(N)N)c2ncn(C(C)C)c2n1,1
COc1cc(-c2cc(=O)c3cc(Cl)cc(C)c3o2)ccc1O,1
CC(C)OC(=O)c1sccc1NC(=O)Cc1ccccc1,1
CS(=O)(=O)Nc1ccc(-c2cnc3cccc(Nc4ccc(Cl)cn4)c3c2)cc1,1
O=c1cc(N2CCOCC2)oc2c1ccc1ccccc12,1
COc1ccc(COCC2CCc3nc(-c4ccc(F)cc4)c(-c4ccnc(N)n4)n32)cc1,1
Cn1ncnc1-c1ncsc1NC(=O)Cc1cccc2cnccc12,1
COc1ccc(-c2cccc3cnc(Nc4ccc(-n5cnc(-c6ccccn6)n5)cc4)nc23)cc1F,1
O=C(Nc1cccc(Cl)c1N1CCN(C2CC2)CC1)c1ccc(Br)o1,1
c1ccc2cc(-c3nn[nH]c3-c3ccncc3)ccc2c1,1
Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC(CCO)CCO)nc21,1
N#Cc1cc(-c2ccnc(Nc3ccc(-n4cnc(-c5ccccn5)n4)cc3)n2)cc(N2CCOCC2)c1,1
O=C(NOCc1ccccc1)C1C=C(c2[nH]ncc2-c2cccc(Cl)c2)C=N1,1
CCc1csc(NC(=O)Cc2ccc(OC)cc2)c1C(=O)OC,1
Cc1cccc(NC(=O)c2ccc(C#N)o2)c1N1CCC2(CC1)OCCO2,1
N#Cc1c(NC(=O)c2cccc3ccccc23)sc2c1CCN(S(=O)(=O)c1ccccc1)C2,1
COC(=O)c1sccc1NC(=O)Cc1ccc(C(F)(F)F)cc1,1
O=c1n(Cc2ccncc2)nc(-c2ccnc(NC3CCCCC3)c2)n1-c1ccc2ccccc2c1,1
COc1ccc(CC(=O)Nc2ccsc2-c2ncco2)cc1,1
O=C(COC(=O)c1[nH]nc2ccccc12)Nc1ccc(S(=O)(=O)N2CCCC2)cc1,1
CC(C)C(CO)Nc1nc(Nc2cc(N)cc(Cl)c2)c2ncn(C(C)C)c2n1,1
OC1CCC(Nc2nccc(-c3cn[nH]c3C3CCCOC3)n2)CC1,1
O=C(NCCN1CCOCC1)c1cccc(-n2ncc3cc(Nc4ccccn4)ccc32)c1,1
Oc1nnc(-c2ccnc(NC3CCOCC3)c2)n1-c1ccc2cc(F)ccc2c1,1
Fc1cnc(Nc2ccc(N3CCOCC3)cc2)cc1-c1ccn(Cc2ccccc2)n1,1
Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1-c1ccc2nc(NCCN3CCOCC3)ncc2c1,1
COc1ccc2c(c1)nc(-c1ccc3ccccc3c1)n2-c1ccnc(NC2CCCN(C(=O)C3CC3)C2)n1,1
COC(=O)c1cc(Br)c(=O)n(Cc2ccc(OC)c(OC)c2)c1,1
Cn1nnc(-c2ccc(Nc3nccc(-c4cc(C#N)cc(N5CCOCC5)c4)n3)cc2)n1,1
N#CC(C(=N)Sc1ccc(N)cc1)c1ccccc1C(F)(F)F,1
O=C1NC(=O)C2=C1c1cn(c3ccccc13)CCCc1ccc(c(N3CCCC3)n1)CCCn1cc2c2ccccc21,1
COc1ccc(Cn2c(O)c(N=O)c3cc(F)ccc32)cc1,1
CCNC(=O)N1CCC(Nc2nccc(-c3cnc4ccccn34)n2)CC1,1
